"author","display_name_alternatives","year"
Leslie Stevens,"[""L. Stevens"", ""Leslie Stevens"", ""L Stevens"", ""L. Nye Stevens""]",2016
Leslie Stevens,"[""L. Stevens"", ""Leslie Stevens"", ""L Stevens"", ""L. Nye Stevens""]",2016
Graeme Laurie,"[""G. T. Laurie"", ""Graeme Laurie"", ""G.T. Laurie"", ""G T Laurie"", ""G. Laurie"", ""G Laurie"", ""Graeme Thomas Laurie"", ""Graeme T Laurie"", ""Graeme T. Laurie""]",2016
Graeme Laurie,"[""G. T. Laurie"", ""Graeme Laurie"", ""G.T. Laurie"", ""G T Laurie"", ""G. Laurie"", ""G Laurie"", ""Graeme Thomas Laurie"", ""Graeme T Laurie"", ""Graeme T. Laurie""]",2016
Susan Boyd,"[""Susan B. Boyd"", ""S. Boyd"", ""Susan Boyd"", ""S.B. Boyd"", ""susan b. boyd"", ""Susan Barbara Boyd"", ""Susan B Boyd"", ""S Boyd""]",1986
Elizabeth A. Sheehy,"[""Elizabeth A. Sheehy"", ""Elizabeth Sheehy"", ""E. Sheehy"", ""Elizabeth A Sheehy""]",1986
Alice Erh-Soon Tay,"[""Alice E.S. Tay"", ""Alice Tay"", ""Alice E.-S. Tay"", ""Alice Erh-Soon Tay"", ""A. E. S. Tay"", ""Alice E. S. Tay"", ""Alice Erh‐Soon Tay""]",1990
Michael Levi,"[""Maxim Vladimirovich Levi"", ""M Levi"", ""Michael A. Levi"", ""M A Levi"", ""M. E. Levi"", ""M. Levi"", ""Michael. Levi"", ""Michael Levi"", ""Mike Levi""]",1989
M. Suddle,"[""M. Suddle""]",1989
Robert Fine,"[""Robert. Fine"", ""R. Fine"", ""Robert D Fine"", ""Robert Fine"", ""Robert D. Fine"", ""ROBERT FINE""]",1994
Xin He,"[""He Xin"", ""Xin He"", ""Xin Frank He""]",2012
Nicole Busby,"[""Nicole Ellen Busby"", ""Busby Nicole"", ""Nicole Busby""]",2006
Gary Wilson,"[""Gary M. Wilson"", ""Gary M Wilson"", ""G.M. Wilson"", ""G M Wilson"", ""Gary Wilson"", ""G. Wilson"", ""G Wilson""]",2000
David Sugarman,"[""David B. Sugarman"", ""David Sugarman"", ""D. Sugarman""]",2009
Tom Horlick-Jones,"[""Horlick-Jones Tom"", ""Tom Horlick‐Jones"", ""Tom Horlick-Jones"", ""Tom. Horlick-Jones""]",1995
Sheila Jasanoff,"[""Sheila S. Jasanoff"", ""Sheila Jasanoff"", ""S. Jasanoff"", ""S Jasanoff""]",1995
Tim Kaye,"[""Tim Kaye"", ""T. Kaye""]",1987
Tony Ward,"[""T.F. Ward"", ""T Ward"", ""T. F. Ward"", ""Tony Ward"", ""Tony. Ward"", ""T. Ward""]",1989
June Tweedie,"[""June Tweedie""]",1989
Kylie Burns,"[""K Burns"", ""Kylie Burns"", ""Kylie Louise Burns""]",2018
Judy Fudge,"[""Judy FUDGE"", ""Judy Fudge"", ""J.D. Fudge"", ""J. Fudge""]",2019
Deirdre McCann,"[""DEIRDRE MCCANN"", ""Deirdre Mccann"", ""D McCann"", ""Deirdre M. McCann"", ""Deirdre McCann"", ""Deirdre Maria McCann"", ""Deirdre McCANN"", ""Deirdre. McCann""]",2019
Steven Vaughan,"[""Steven Vaughan"", ""S. S. Vaughan"", ""Vaughan Stephen"", ""S Vaughan"", ""STEVEN VAUGHAN"", ""Stephen Vaughan"", ""S. Vaughan"", ""Stephen D. Vaughan"", ""Stephen D Vaughan""]",2007
Claudio M. Radaelli,"[""Claudio Radaelli"", ""Claudio. Radaelli"", ""Claudio M Radaelli"", ""Claudio Maria Radaelli"", ""C.M. Radaelli"", ""C Radaelli"", ""claudio m radaelli"", ""C. Radaelli"", ""Claudio M. Radaelli""]",2011
Joanne Conaghan,"[""J Conaghan"", ""J. Conaghan"", ""Joanne Conaghan"", ""Joanne A F Conaghan""]",2011
Philip Girard,"[""Philip Vincent. Girard"", ""Philip Girard*"", ""P. Girard"", ""Philip Girard""]",2012
John Flood,"[""J. Flood"", ""John C. H. Flood"", ""John Flood""]",2011
Catharine MacMillan,"[""Catharine Macmillan"", ""C. Michael MacMillan"", ""C. Michael Macmillan"", ""Catharine MacMillan""]",2015
Yassin M'Boge,"[""YASSIN M’BOGE"", ""Yassin A. M’Boge"", ""Yassin M’Boge"", ""Yassin M'Boge""]",2011
John D. Jackson,"[""J Jackson"", ""John D Jackson"", ""J D Jackson"", ""J. D. Jackson"", ""J. Jackson"", ""J.D. Jackson"", ""J.D Jackson"", ""J David Jackson"", ""John D. Jackson"", ""John Jackson"", ""John David Jackson"", ""John Dugald Jackson"", ""J. David Jackson""]",2011
André-Jean Arnaud,"[""André‐JEAN Arnaud"", ""Andre-Jean Arnaud"", ""André‐Jean Arnaud"", ""A Arnaud"", ""A. Arnaud"", ""André-Jean Arnaud"", ""A.J. Arnaud""]",2003
André-Jean Arnaud,"[""André‐JEAN Arnaud"", ""Andre-Jean Arnaud"", ""André‐Jean Arnaud"", ""A Arnaud"", ""A. Arnaud"", ""André-Jean Arnaud"", ""A.J. Arnaud""]",2003
Joe Sim,"[""JOE SIM"", ""J Sim"", ""Joe Sim"", ""J L Sim"", ""J. Sim""]",1988
Paula Skidmore,"[""Paula Ml Skidmore"", ""Paula M.L. Skidmore"", ""Paula M Skidmore"", ""P. Skidmore"", ""Paula M L Skidmore"", ""P Skidmore"", ""Paula Ml. Skidmore"", ""Paula Skidmore"", ""P.M.L. Skidmore"", ""Paula M. L. Skidmore""]",1988
Phil Scraton,"[""Phil Scraton"", ""P. Scraton""]",1988
Stephen Sedley,"[""S Sedley"", ""Stephen Sedley""]",1990
John Morison,"[""John Morison"", ""John E Morison"", ""J. L. Morison"", ""John Edgar Morison"", ""J Morison"", ""J. Edgar Morison"", ""J. E. Morison"", ""John E. Morison"", ""J.Edgar Morison"", ""J. Morison"", ""John Lyle Morison""]",1992
Marie Fox,"[""Marie Fox"", ""M W Fox"", ""M. Fox"", ""M Fox""]",1992
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",1989
Martin Walker,"[""Martin Walker"", ""M. Blake Walker""]",1985
Nusrat Ventimiglia,"[""Nusrat Ventimiglia""]",2012
Jerry Herron,"[""Jerry Herron"", ""J. Dudley Herron""]",2013
Peter Fitzpatrick,"[""P. Fitzpatrick"", ""Peter Fitzpatrick"", ""P Fitzpatrick"", ""Peter H Fitzpatrick"", ""Peter Henry Fitzpatrick""]",2004
Nick Wikeley,"[""Nick Wikeley"", ""N Wikeley"", ""NICK WIKELEY"", ""N.J. Wikeley"", ""N. Wikeley"", ""N. J. Wikeley"", ""N J Wikeley""]",1997
Dan Priel,"[""Daniel Priel"", ""Dan Priel"", ""Danny Priel""]",2013
Barry Wright,"[""B Wright"", ""B. D. Wright"", ""Barry Wright"", ""Barry D Wright"", ""B. Wright"", ""Barry Debenham Wright"", ""Barry D. Wright"", ""Barry. Wright""]",1998
David Miers,"[""David R. Miers"", ""D Miers"", ""D. R. Miers"", ""David Robert Miers"", ""David Miers""]",1984
Laurence Lustgarten,"[""Laurence Lustgarten"", ""L. S. Lustgarten"", ""L Lustgarten"", ""L. Lustgarten""]",1988
Alan Hunt,"[""Alan HUnt"", ""Alan Hunt"", ""A. Hunt"", ""Alan J. Hunt"", ""ALAN HUNT"", ""Alan James Hunt"", ""A.J. Hunt"", ""A J Hunt"", ""A. J. Hunt"", ""Alan J Hunt"", ""A Hunt""]",1994
Bo Carlsson,"[""B. Carlsson"", ""Bo Carlsson"", ""Bo Thore Carlsson"", ""BO Carlsson"", ""Bo T. Carlsson"", ""B Carlsson""]",1995
Kay Milton,"[""Kay Milton"", ""K. Milton""]",1991
Birthe Jorgensen,"[""Birthe Jorgensen""]",1982
Ole Hammerslev,"[""Ole Hammerslev""]",2021
Annette Olesen,"[""Anette Olesen"", ""Annette Olesen"", ""ANNETTE OLESEN"", ""A. B. Olesen""]",2021
Vivien Chen,"[""Vivien M. Y. Chen"", ""VIVIEN CHEN"", ""Vivien Mun Yee Chen"", ""Chen"", ""Vivien M Chen"", ""Vivien M Y Chen"", ""Vivien Chen"", ""V. M. Chen"", ""Vivien M.Y. Chen"", ""Vivien M. Chen""]",2022
Michelle Anne Welsh,"[""M Welsh"", ""MICHELLE WELSH"", ""Michelle Welsh"", ""Michelle Anne Welsh"", ""M. Welsh""]",2022
May Fong Cheong,"[""May Fong Cheong"", ""MAY FONG CHEONG"", ""May Cheong""]",2022
Robin Churchill,"[""R. Churchill"", ""R.R. Churchill"", ""R. R. Churchill"", ""Robin Churchill."", ""R. Paul Churchill"", ""R Churchill"", ""Robin R. Churchill"", ""Robin Churchill"", ""Robin Rolf Churchill""]",1991
Lynda M. Warren,"[""Lauren H Warren"", ""Leonard Warren"", ""Lynda M Warren"", ""Louis S. Warren"", ""Lynda Warren"", ""L.M Warren"", ""Lorraine Warren"", ""Louisa Warren"", ""L.M. Warren"", ""Lana Warren"", ""L. Warren"", ""Laura Warren"", ""Lynda M. Warren"", ""L Warren"", ""L. M. Warren""]",1991
John Gibson,"[""J Gibson"", ""John K. Gibson"", ""John K Gibson"", ""Jennifer Gibson"", ""John Gibson"", ""John. Gibson"", ""J. Gibson"", ""Gibson John""]",1991
Ronnie Warrington,"[""Ronnie Warrington"", ""R. Warrington"", ""R J Warrington""]",1987
Costas Douzinas,"[""C Douzinas"", ""Costas Douzinas""]",1987
Harry W. Arthurs,"[""Harry Arthurs"", ""H. Arthurs"", ""H.W. Arthurs"", ""H. W. Arthurs"", ""Harry W. Arthurs""]",2002
David Cox,"[""D Cox"", ""David J Cox"", ""D. Cox"", ""David J. Cox"", ""David Cox"", ""David J. Cox""]",2019
Karin van Marle,"[""Karin van Marle"", ""Karin Van Marle"", ""Karin Van marle"", ""K. Van Marle"", ""K Van Marle""]",2019
Philip A. Thomas,"[""P. A. Thomas"", ""P.A. Thomas"", ""P Thomas"", ""Philip Aneurin Thomas"", ""Philip A. Thomas"", ""Philip Thomas"", ""P. Thomas""]",1985
Helen Power,"[""Helen Joy Power"", ""H. POWER"", ""H Power"", ""Helen J. Power"", ""Helen Power"", ""H. Power"", ""HELEN POWER"", ""H. J. Power"", ""Helen J Power""]",1985
Robert East,"[""R East"", ""R. East"", ""Robert East"", ""R.J. East"", ""Robert J. East"", ""Rob East""]",1985
John Kenneth Galbraith,"[""J Galbraith"", ""John Galbraith"", ""J. Kenneth Galbraith"", ""JOHN KENNETH GALBRAITH"", ""J. Galbraith"", ""J. K. Galbraith"", ""John Kenneth Galbraith"", ""J K Galbraith"", ""John K. Galbraith"", ""J.K. Galbraith""]",1994
Anthony Carty,"[""Anthony Carty"", ""A. Carty""]",1986
Nicole Arnaud-Duc,"[""Nicole Arnaud-duc"", ""Nicole Arnaud-Duc"", ""N. Arnaud-Duc""]",1986
Qian Liu,"[""Li-Ting Qian"", ""Qian Lianfang"", ""Qian Liyuan"", ""Li-Yuan Qian"", ""Li-yuan Qian"", ""Qian Liu"", ""Qian Li-ting"", ""Liyuan Qian"", ""Qian Lei"", ""Qian Lin-lin"", ""Liu Qian"", ""QIAN LIU"", ""Liting Qian"", ""L. Qian"", ""Qian Li-yuan"", ""L Qian"", ""L. Y. Qian"", ""Lei Qian"", ""Linlin Qian"", ""Li-ting Qian"", ""Lianfang Qian"", ""Qian Liting""]",2023
Mavis Maclean,"[""M. MacLean"", ""M. Mac-lean"", ""MAVIS MACLEAN"", ""Mavis Maclean"", ""M Maclean"", ""M. Maclean"", ""M. Wayne Maclean"", ""Mavis MacLean""]",2023
PATRICK O'BRIEN,"[""PATRICK O'BRIEN""]",2023
LUKÁŠ LEV ČERVINKA,"[""LUKÁŠ LEV ČERVINKA""]",2023
LUKÁŠ LEV ČERVINKA,"[""LUKÁŠ LEV ČERVINKA""]",2023
Wade Mansell,"[""Wade Mansell"", ""W Mansell""]",1996
David Howarth,"[""David J. Howarth"", ""DAVID HOWARTH"", ""David J.C. Howarth"", ""D. J. C. Howarth"", ""David. Howarth"", ""David J. C. Howarth"", ""D. J. Howarth"", ""David Howarth"", ""D. Howarth"", ""David Jc Howarth"", ""D Howarth"", ""D.J. Howarth""]",1996
Barry Luckock,"[""B. LUCKOCK"", ""B. Luckock"", ""B Luckock"", ""Barry Luckock""]",2008
Kimberley Brayson,"[""Kimberley Brayson""]",2019
Nikos Passas,"[""N. Passas"", ""N.I. Passas"", ""Νίκος Ι. Πασσάς"", ""Nikos I. Passas"", ""Nikos Passas"", ""N Passas"", ""Nikos. Passas""]",1996
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2000
Didi Herman,"[""D. Herman"", ""D Onov A N S Herman"", ""Didi Herman""]",2006
Tamar Pitch,"[""T Pitch"", ""T. Pitch"", ""Tamar Pitch""]",1983
Philip M. McDonald,"[""P. McDonald"", ""Philip M McDonald"", ""Philip M. McDonald"", ""Philip McDonald"", ""Philip Mcdonald"", ""P. M. McDonald"", ""P.M. McDonald"", ""Philip M Mcdonald"", ""P. M. Mcdonald"", ""P McDonald"", ""P. Mcdonald""]",1982
Alan Hunt,"[""Alan HUnt"", ""Alan Hunt"", ""A. Hunt"", ""Alan J. Hunt"", ""ALAN HUNT"", ""Alan James Hunt"", ""A.J. Hunt"", ""A J Hunt"", ""A. J. Hunt"", ""Alan J Hunt"", ""A Hunt""]",1994
John Tweedy,"[""J. E. Tweedy"", ""John Tweedy""]",1994
Simon Deakin,"[""Simon Francis Deakin"", ""Simon Deakin"", ""S. Deakin"", ""Simon F. Deakin"", ""S.Deakin"", ""S Deakin"", ""S. F. Deakin"", ""Deakin Simon"", ""Simon DEAKIN""]",1999
Simon Deakin,"[""Simon Francis Deakin"", ""Simon Deakin"", ""S. Deakin"", ""Simon F. Deakin"", ""S.Deakin"", ""S Deakin"", ""S. F. Deakin"", ""Deakin Simon"", ""Simon DEAKIN""]",1999
Stephen Pratten,"[""Stephen Pratten"", ""S. PRATTEN"", ""Stephen Bernard Pratten""]",1999
Clare McGlynn,"[""Clare McGLYNN"", ""C. McGlynn"", ""C. M. S. McGlynn"", ""CLARE McGLYNN"", ""C McGlynn"", ""C.M.S. McGlynn"", ""Clare Mary Smith McGlynn"", ""Clare Mcglynn"", ""Clare M.S. McGlynn"", ""Clare McGlynn""]",2009
I. M. Ward,"[""I. M Ward"", ""I WARD"", ""Ian Macmillan . Ward"", ""Ian Ward"", ""I Ward"", ""Ian M. Ward"", ""I M Ward"", ""Ian M Ward"", ""I.M Ward"", ""I. M. Ward"", ""Ian. M. Ward"", ""I.M.L. Ward"", ""I.M. Ward"", ""Ian Macmillan Ward"", ""I. Ward""]",2009
David Sugarman,"[""David B. Sugarman"", ""David Sugarman"", ""D. Sugarman""]",2015
Lee Bridges,"[""L. Richard Bridges"", ""Lee Richard Bridges"", ""L Bridges"", ""Lee Bridges""]",1999
Lee Bridges,"[""L. Richard Bridges"", ""Lee Richard Bridges"", ""L Bridges"", ""Lee Bridges""]",1999
Christopher McCrudden,"[""Christopher McCRUDDEN"", ""Christopher McCrudden"", ""Christopher MCCrudden"", ""C. McCrudden"", ""CHRISTOPHER MCCRUDDEN"", ""Christopher Mccrudden"", ""C McCrudden""]",1995
Daniel C. Feldman,"[""D C. Feldman"", ""David Feldman"", ""D Feldman"", ""Daniel C. Ph.D. Feldman"", ""Daniel C Feldman"", ""Daniel Charles Feldman"", ""D. Feldman"", ""David B Feldman"", ""David B. Feldman"", ""D. C. Feldman"", ""Daniel C. Feldman"", ""D.C Feldman"", ""Daniel Feldman""]",1995
Robert Blackburn,"[""Róbert Bartkó"", ""Robert Bradgate"", ""Robert Blackburn"", ""Robert Bartko"", ""Bradgate Robert"", ""R Blackburn"", ""Bartko Robert"", ""B Robert"", ""Blackburn Robert""]",1995
Gerald Chambers,"[""Gerald Chambers""]",1995
Deborah Cheney,"[""D.W. Cheney"", ""Deborah Cheney""]",1996
Sarah Spencer,"[""Sarah Busse Spencer"", ""Sarah Spencer"", ""S. Spencer"", ""S Spencer""]",1996
Satvinder Juss,"[""Satvinder Juss"", ""Satvinder S. Juss"", ""S. Juss"", ""S Juss"", ""Satvinder S Juss"", ""Satvinder Singh Juss""]",1996
Keith Middlemas,"[""K. Middlemas"", ""KEITH MIDDLEMAS"", ""Keith Middlemas""]",1985
Malcolm Harrison,"[""Mike Harrison"", ""M. L. HARRISON"", ""M Harrison"", ""M. L. Harrison"", ""Malcolm Harrison"", ""M.L. Harrison"", ""Malcolm L. Harrison"", ""Malcolm harrison"", ""M. Harrison"", ""M L Harrison""]",1985
Norman Lewis,"[""Norman D. Lewis"", ""N. B. Lewis"", ""Norman Douglas Lewis"", ""Norman Lewis"", ""N. Douglas Lewis"", ""N. Lewis"", ""N.D. Lewis""]",1985
Stewart Andrew Field,"[""Stewart Field"", ""Stewart Andrew Field"", ""S. B. Field""]",1989
William James Forsythe,"[""W. J. Forsythe"", ""William James Forsythe""]",1989
Anthony Bottoms,"[""Anthony Bottoms"", ""Anthony E. Bottoms"", ""Anthony E Bottoms"", ""Anthony Edward Bottoms"", ""A. E. Bottoms"", ""A.E. Bottoms"", ""A Bottoms"", ""A. Bottoms""]",1989
Roy Light,"[""Roy Light"", ""R. Light"", ""Roy. Light""]",1989
Frances Olsen,"[""Frances Olsen"", ""F Olsen"", ""Frances E. Olsen"", ""Frances Elisabeth Olsen""]",1993
Thomas Gibbons,"[""T.J. Gibbons"", ""Thomas Gibbons"", ""T. Gibbons"", ""Thomas J Gibbons"", ""Thomas J. Gibbons"", ""T. J. Gibbons""]",1987
John Baxter,"[""J. W. Baxter"", ""John W. Baxter"", ""John Baxter"", ""John W Baxter""]",1987
Robert Reiner,"[""Robert Reiner"", ""R.J. Reiner"", ""R. J. Reiner"", ""ROBERT REINER"", ""R. Reiner"", ""R Reiner""]",1987
Phil Scraton,"[""Phil Scraton"", ""P. Scraton""]",1987
Laurence Koffman,"[""Laurence Koffman"", ""L. Koffman""]",1987
Anthea Hucklesby,"[""Anthea Hucklesby"", ""A. J. Hucklesby"", ""A. Hucklesby""]",2009
Tony Prosser,"[""Tony Prosser"", ""T. Prosser"", ""Tony A W Prosser""]",2006
Nuno Garoupa,"[""Nuno R. Garoupa"", ""N. Garoupa"", ""Nuno Garoupa"", ""Nuno M. Garoupa""]",2008
Michael Faure,"[""M G Faure"", ""Michael Gebert Faure"", ""M.G. Faure"", ""Michael Faure"", ""Michael G. Faure"", ""M Faure"", ""Michael G Faure"", ""M. Faure""]",2008
Roger Bowles,"[""Roger Bowles"", ""Roger Arthur Bowles"", ""R Bowles"", ""Roger A. Bowles"", ""R. Bowles""]",2008
Adrian Howe,"[""Adrian Howe"", ""A Howe"", ""A. Howe""]",1995
John W. Cioffi,"[""John Cioffi"", ""J. W. Cioffi"", ""John W. Cioffi""]",2000
Gordon White,"[""G. Edward White"", ""Gordon E. White"", ""Gordon White"", ""G. White""]",1996
Tshepo Madlingozi,"[""Tshepo Madlingozi""]",2007
Cyrus Tata,"[""Cyrus Tata"", ""C. M. Tata"", ""C. Tata""]",2007
Richard Abel,"[""Richard Abel"", ""Richard L. Abel"", ""Richard Leslie Abel"", ""R L Abel"", ""richard abel"", ""R. L. Abel"", ""R Abel"", ""R. Abel"", ""R.L. Abel"", ""Richard L Abel""]",1995
Philip A. Thomas,"[""P. A. Thomas"", ""P.A. Thomas"", ""P Thomas"", ""Philip Aneurin Thomas"", ""Philip A. Thomas"", ""Philip Thomas"", ""P. Thomas""]",1983
Joe Sim,"[""JOE SIM"", ""J Sim"", ""Joe Sim"", ""J L Sim"", ""J. Sim""]",1983
John Morison,"[""John Morison"", ""John E Morison"", ""J. L. Morison"", ""John Edgar Morison"", ""J Morison"", ""J. Edgar Morison"", ""J. E. Morison"", ""John E. Morison"", ""J.Edgar Morison"", ""J. Morison"", ""John Lyle Morison""]",2000
Jo Shaw,"[""J. Shaw"", ""J.W. Shaw"", ""Jo Shaw"", ""J. W. Shaw"", ""Jo. Shaw""]",2000
Colin Harvey,"[""Harvey Colin"", ""C. Harvey"", ""Colin Harvey"", ""Colin J. Harvey"", ""Colin J Harvey"", ""C.J. Harvey"", ""C Harvey""]",2000
Ernest Lim,"[""E Lim"", ""Ernest W K Lim"", ""Ernest Lim""]",2014
Ann Millar,"[""Ann Millar"", ""Ann R Millar""]",1984
Gerry Chambers,"[""Gerry Chambers""]",1984
Susan L. Edwards,"[""Susan L. Edwards"", ""Susan Laine Edwards"", ""S Edwards"", ""Susan Edwards"", ""Susan L Edwards""]",1984
William Twining,"[""W. L. Twining"", ""William L. Twining"", ""W. Twining"", ""William Lawrence Twining"", ""W Twining"", ""William Twining""]",1998
Lieve Gies,"[""L. Gies"", ""Lieve Gies""]",2005
Ralph Sandland,"[""Ralph Sandland"", ""R. Sandland"", ""S Ralph"", ""Sutton Ralph"", ""Sandland Ralph"", ""Ralph Sutton""]",1996
Sally Sheldon,"[""S. D. Sheldon"", ""Sally Sheldon""]",1999
Clem Henricson,"[""C. Henricson"", ""Clem Henricson""]",2008
Tony Bunyan,"[""Tony Bunyan"", ""T. Bunyan""]",1983
Lee Bridges,"[""L. Richard Bridges"", ""Lee Richard Bridges"", ""L Bridges"", ""Lee Bridges""]",1983
Mark Findlay,"[""Mark J. Findlay"", ""Mark James Findlay"", ""M. Findlay"", ""Marion Findlay"", ""M Findlay"", ""Jane Loo"", ""Mark Findlay""]",1989
Lisa Waddington,"[""L.B. Waddington"", ""Lisa Waddington"", ""L. Waddington""]",1999
Jon Yorke,"[""J Yorke"", ""John Yorke"", ""John E. Yorke"", ""Jon D. Yorke"", ""Jon Yorke"", ""J. Yorke""]",2017
Stephen Healy,"[""Stephen Anthony Healy"", ""S Healy"", ""Stephen A. Healy"", ""Stephen Healy"", ""S.A. Healy"", ""S. A. Healy"", ""S. Healy""]",2018
David Gurnham,"[""D. Gurnham"", ""David Gurnham""]",2016
Ian Loveland,"[""I. Loveland"", ""Ian D. Loveland"", ""Ian Loveland"", ""I.D. Loveland""]",1987
Philip A. Thomas,"[""P. A. Thomas"", ""P.A. Thomas"", ""P Thomas"", ""Philip Aneurin Thomas"", ""Philip A. Thomas"", ""Philip Thomas"", ""P. Thomas""]",1991
Jos Silvis,"[""Jos Silvis""]",1991
Willem de Haan,"[""Willem de Haan""]",1991
Philip A. Thomas,"[""P. A. Thomas"", ""P.A. Thomas"", ""P Thomas"", ""Philip Aneurin Thomas"", ""Philip A. Thomas"", ""Philip Thomas"", ""P. Thomas""]",1989
Jos Silvis,"[""Jos Silvis""]",1989
Willem de Haan,"[""Willem de Haan""]",1989
Atina Krajewska,"[""Atina Krajewska""]",2018
Jenni Millbank,"[""Jenni Millbank"", ""J Millbank""]",2018
Anthea Vogl,"[""Anthea Vogl"", ""A Vogl"", ""Anthea Fay Vogl""]",2018
Evelyn K. Sommers,"[""Evelyn Sommers"", ""E. K. Sommers"", ""Evelyn K. Sommers""]",1996
Eileen Fegan,"[""E. Fegan"", ""Eileen Fegan"", ""Eileen Veronica Fegan"", ""Eileen V. Fegan""]",1996
Mavis Maclean,"[""M. MacLean"", ""M. Mac-lean"", ""MAVIS MACLEAN"", ""Mavis Maclean"", ""M Maclean"", ""M. Maclean"", ""M. Wayne Maclean"", ""Mavis MacLean""]",2015
Ivor Jennings,"[""I Jennings"", ""Ivor Jennings"", ""Ivor Jennings."", ""I. Jennings"", ""ivor jennings""]",1995
Nicole Busby,"[""Nicole Ellen Busby"", ""Busby Nicole"", ""Nicole Busby""]",2017
Emily Rose,"[""E. J. B. Rose"", ""Emily Rose"", ""E. J. Rose""]",2017
Jaco Vos,"[""Jaco Vos"", ""Vos Jaco"", ""J. Vos""]",1996
David Nelken,"[""DAVID NELKEN"", ""D. Nelken"", ""D. T. Nelken"", ""David Nelken"", ""D. NELKEN"", ""D Nelken""]",1996
Jane Kelsey,"[""J. Graham T. Kelsey"", ""J. G. T. Kelsey"", ""J Kelsey"", ""Jane Kelsey""]",1998
Paul Almond,"[""Paul James Almond"", ""Paul Almond""]",2009
Bronwen Morgan,"[""Morgan Bronwen"", ""Bronwen Morgan"", ""B. Morgan"", ""Bronwen M Morgan"", ""B Morgan""]",2015
Declan Kuch,"[""D. Kuch"", ""Declan Kuch"", ""D Kuch""]",2015
Nikolas Rose,"[""N Rose"", ""NIKOLAS ROSE"", ""Nikolas Simon Rose"", ""N. Rose"", ""Nikolas S. Rose"", ""Nikolas Rose"", ""Nikolas S Rose"", ""N.S. Rose""]",1985
Philip Selznick,"[""Philip Selznick""]",2003
Sol Picciotti,"[""Sol Picciotti""]",2002
Annie Bunting,"[""Annie Bunting"", ""A Bunting""]",1993
Francis Snyder,"[""F.G. Snyder"", ""Francis G. Snyder"", ""F. Snyder"", ""Francis Snyder"", ""F. G. Snyder""]",1987
Fiona Cownie,"[""F. Cownie"", ""Fiona Cownie""]",1998
Patricia Gray,"[""P Gray"", ""Patricia Gray"", ""Patricia D. Gray""]",1997
Colin Harvey,"[""Harvey Colin"", ""C. Harvey"", ""Colin Harvey"", ""Colin J. Harvey"", ""Colin J Harvey"", ""C.J. Harvey"", ""C Harvey""]",2000
David McCallum,"[""David McCallum"", ""David Clark McCallum"", ""D. McCallum"", ""David C. Mccallum"", ""D McCallum"", ""D. C. McCallum"", ""David Mccallum"", ""David C. McCallum"", ""D Mccallum""]",2011
Jane Holder,"[""J. Holder"", ""J.B. Holder"", ""J Holder"", ""Jane B. Holder"", ""Jane Holder""]",1991
Neil MacCormick,"[""Neil MacCormick"", ""Neil Maccormick"", ""n MacCormick"", ""Neil MacCORMICK"", ""N. MacCormick"", ""N. Maccormick""]",1983
Christine Piper,"[""C Piper"", ""Christine Piper"", ""C. T. Piper""]",1996
Richard Rawlings,"[""Richard Rawlings"", ""R. W. Rawlings"", ""R Rawlings""]",2015
Trevor O. Jones,"[""T O Jones"", ""Trevor O. Jones"", ""Taff Jones"", ""T. O. Jones"", ""Jones To"", ""Timothy H. Jones"", ""Timothy H Jones"", ""Timothy Jones"", ""T.O. Jones"", ""Trevor Owen Jones"", ""Trevor O Jones"", ""T R Jones"", ""TO Jones"", ""T. Jones"", ""Trevor Jones"", ""T Jones"", ""T. H. Jones""]",1989
Ritu Birla,"[""Ritu Birla""]",2013
Keith Syrett,"[""Keith Syrett"", ""K. Syrett"", ""Keith John Syrett"", ""KJ Syrett"", ""K Syrett"", ""Keith J Syrett""]",1998
Rebecca Scott Bray,"[""R. Scott Bray"", ""R.S. Bray"", ""Rebecca Scott Bray""]",2013
Greg Martin,"[""G. L. Martin"", ""Gregory W. Martin"", ""G L Martin"", ""G.L. Martin"", ""G Martin"", ""Greg Martin"", ""G Martín"", ""Gregory Martin"", ""Grégory Martin"", ""G. J. Martin"", ""g. Martin"", ""Greg L. Martin"", ""G. L. de Martin"", ""G. W. Martin"", ""G. Martin""]",2013
Michael Levi,"[""Maxim Vladimirovich Levi"", ""M Levi"", ""Michael A. Levi"", ""M A Levi"", ""M. E. Levi"", ""M. Levi"", ""Michael. Levi"", ""Michael Levi"", ""Mike Levi""]",1983
Peter Vincent-Jones,"[""Peter Vincent‐Jones"", ""P Vincent-Jones"", ""Peter Vincent-Jones"", ""P. Vincent-Jones"", ""Peter Vincent–Jones""]",1986
David Lyons,"[""D Lyons"", ""David B Lyons"", ""D B Lyons"", ""D. Lyons"", ""David B. Lyons"", ""David Bruce Lyons"", ""David Lyons""]",1984
Roger Brownsword,"[""Roger Brownsword"", ""Brownsword Roger"", ""R. Brownsword"", ""R Brownsword""]",1984
