"author","display_name_alternatives","year"
Aileen McHarg,"[""A. M. McHarg"", ""Aileen McHarg"", ""Aileen Mcharg"", ""A McHarg"", ""A. McHarg""]",2006
Alan Hughes,"[""A HUGHES"", ""A. Hughes"", ""Alan Hughes"", ""A Hughes"", ""A. M. Hughes"", ""A M Hughes"", ""A.M. Hughes"", ""Alan M. Hughes"", ""Alan. Hughes"", ""Alan M Hughes"", ""Amanda C Hughes""]",1997
Andy Cosh,"[""Andy D. Cosh"", ""A Cosh"", ""A. D. Cosh"", ""Andy Cosh"", ""A.D. Cosh"", ""A. Cosh""]",1997
Frances Webber,"[""F. Webber"", ""Frances Webber""]",1999
Andromachi Georgosouli,"[""A Georgosouli"", ""A. Georgosouli"", ""Andromachi Georgosouli""]",2011
Peter Goodrich,"[""P. Goodrich"", ""Peter Goodrich"", ""Peter Hampton Goodrich"", ""Peter H. Goodrich""]",2009
Siôn Jenkins,"[""Siôn Jenkins"", ""Sion Jenkins"", ""Siôn David Charles Jenkins""]",2013
Alison Dunn,"[""A. Dunn"", ""AM Dunn"", ""Alison Dunn"", ""A Dunn"", ""A.R. Dunn"", ""A.T. Dunn"", ""A. R. Dunn""]",2012
Alison Dunn,"[""A. Dunn"", ""AM Dunn"", ""Alison Dunn"", ""A Dunn"", ""A.R. Dunn"", ""A.T. Dunn"", ""A. R. Dunn""]",2012
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",2001
Peter Goodrich,"[""P. Goodrich"", ""Peter Goodrich"", ""Peter Hampton Goodrich"", ""Peter H. Goodrich""]",1993
Genevra Richardson,"[""G. M. Richardson"", ""genevra richardson"", ""Genevra Mercy Richardson"", ""G. Richardson"", ""Genevra Richardson""]",1984
Robin Grove-White,"[""R. B. Grove-White"", ""Robin Grove-White"", ""Robin Grove‐White"", ""Robin B. Grove-White"", ""R Grove-White"", ""R. Grove-White""]",1991
